S.No,Code[17],Official name,Headquarters,Past District,Revenue divisions,Mandals,Population,Area (in sq.km),Density (per sq.km),Map
1,SRI,Srikakulam,Srikakulam,,3,30,2191471,4591,477.34,
2,PAR,Parvathipuram Manyam,Parvathipuram,"Srikakulam, Vizianagaram.",2,15,925340,3659,252.89,
3,VIZ,Vizianagaram,Vizianagaram,,3,27,1930811,4122,468.42,
4,VIS,Visakhapatnam,Visakhapatnam,,2,11,1959544,1048,1869.79,
5,ALL,Alluri Sitharama Raju,Paderu,"East Godavari, Visakhapatnam, Vizianagaram.",3,22,953960,12251,77.87,
6,ANA,Anakapalli,Anakapalli,Visakhapatnam,2,25,1726998,4292,402.38,
7,KAK,Kakinada,Kakinada,East Godavari,2,21,2092374,3019,693.07,
8,EAS,East Godavari,Rajamahendravaram,,2,19,1832332,2561,715.48,
9,KON,Dr. B. R. Ambedkar Konaseema,Amalapuram,East Godavari,3,22,1719093,2083,825.3,
10,ELU,Eluru,Eluru,"West Godavari, Krishna",3,27,2006737,6579,305.02,
11,WES,West Godavari,Bhimavaram,,3,20,1844898,2278,809.88,
12,NTR,NTR,Vijayawada,Krishna,3,20,2218591,3316,669.06,
13,KRI,Krishna,Machilipatnam,,3,26,1735079,3775,459.62,
14,PAL,Palnadu,Narasaraopeta,Guntur,3,28,2041723,7298,279.76,
15,GUN,Guntur,Guntur,,2,18,2091075,2443,855.95,
16,BAP,Bapatla,Bapatla,Guntur Prakasam,3,25,1586918,3829,414.45,
17,NEL,Sri Potti Sriramulu Nellore,Nellore,,4,38,2469712,10441,236.54,
18,PRA,Prakasam,Ongole,,3,39,2288026,14322,159.76,
19,KUR,Kurnool,Kurnool,,3,26,2271686,7980,284.67,
20,NAN,Nandyal,Nandyal,Kurnool,3,30,1781777,9682,184.03,
21,ANA,Anantapuramu,Anantapuram,,3,32,2241105,10205,219.61,
22,SSS,Sri Sathya Sai,Puttaparthi,Anantapuramu,4,32,1840043,8925,206.17,
23,CUD,YSR,Kadapa,,4,36,2060654,11228,183.53,
24,ANN,Annamayya,Rayachoti,"Chittoor, YSR",3,30,1697308,7954,213.39,
25,TIR,Tirupati,Tirupati,"Chittoor, Nellore",4,34,2196984,8231,266.92,
26,CHI,Chittoor,Chittoor,,4,32,1872951,6855,273.22,
