Code,District,Headquarters,Population (2011)[32],Area (km2),Density (/km2),Year created,Map
TA,Tawang,Tawang Town,49950,2085,24,1984,
WK,West Kameng,Bomdila,87013,7422,12,1980,
,Bichom[2],Napangphung,9710,2897,12,2024,
EK,East Kameng,Seppa,78413,4134,19,1980,
,Pakke-Kessang,Lemmi,,,,2018,
,Kurung Kumey,Koloriang,89717,8818,10,2001,
PA,Papum Pare,Yupia,176385,2875,61,1992,
,Kra Daadi,Jamin,22290,2202,10,2015,
LB,Lower Subansiri,Ziro,82839,3460,24,1980,
,Kamle,Raga,"22,256[29]",200,111.28,2017,
,Keyi Panyor,Yachuli,,,,2024,
UB,Upper Subansiri,Daporijo,83205,7032,12,1980,
,Shi-Yomi,Tato,13310,2875,4.6,2018,
WS,West Siang,Aalo,112272,8325,12,1980,
,Siang,Boleng,31920,2919,11,2015,
,Lower Siang,Likabali,80597,,,2017,
,Lepa-Rada,Basar,,,,2018,
US,Upper Siang,Yingkiong,33146,6188,5,1994,
ES,East Siang,Pasighat,99019,4005,25,1980,
,Dibang Valley,Anini,7948,9129,1,2001,
UD,Lower Dibang Valley,Roing,53986,3900,14,2001,
EL,Lohit,Tezu,145538,2402,61,1980,
AJ,Anjaw,Hawai,21089,6190,3,2004,
,Namsai,Namsai,95950,1587,60,2014,
CH,Changlang,Changlang,147951,4662,32,1987,
TI,Tirap,Khonsa,111975,2362,47,1965,
LD,Longding,Longding,"60,000[33]","1,200[33]",50[33],2012,
