S.No,Code,District,Headquarters,Population (2011)[15],Area (km2)[16],Density (/km2),Official website,Map
1,,Balod,Balod,826165,3527.00,234,http://balod.gov.in/,
2,,Baloda Bazar,Baloda Bazar,1078911,3733.87,290,https://balodabazar.gov.in/,
3,,Balrampur,Balrampur,730491,6016.34,100,http://balrampur.gov.in/,
4,BA,Bastar,Jagdalpur,834873,6596.90,213,http://bastar.gov.in/,
5,,Bemetara,Bemetara,795759,2854.81,279,http://bemetara.gov.in/,
6,,Bijapur,Bijapur,255230,6552.96,39,http://bijapur.gov.in/,
7,BI,Bilaspur,Bilaspur,1625502,3511.10,463,http://bilaspur.gov.in/,
8,DA,Dantewada,Dantewada,283479,3410.50,83,http://dantewada.gov.in/,
9,DH,Dhamtari,Dhamtari,799781,4081.93,196,http://dhamtari.gov.in/,
10,DU,Durg,Durg,1721948,2319.99,742,http://durg.gov.in/,
11,GB,Gariaband,Gariaband,597653,5854.94,103,http://gariaband.gov.in/,
12,GPM,Gaurella-Pendra-Marwahi,Gaurella,336420,2307.39,166,https://gaurela-pendra-marwahi.cg.gov.in/,
13,JC,Janjgir-Champa,Janjgir,966671,4466.74,360,http://janjgir-champa.gov.in/,
14,JA,Jashpur,Jashpur,851669,6457.41,132,https://jashpur.nic.in/en/,
15,KW,Kabirdham,Kawardha,822526,4447.05,185,http://kawardha.gov.in/,
16,KK,Kanker,Kanker,748941,6432.68,117,http://kanker.gov.in/,
17,,Kondagaon,Kondagaon,578326,6050.73,96,http://kondagaon.gov.in/,
18,KCG,Khairagarh-Chhuikhadan-Gandai,Khairagarh,368444,-,-,,
19,KB,Korba,Korba,1206640,7145.44,169,http://korba.gov.in/,
20,KJ,Koriya,Baikunthpur,247427,2378,37,http://korea.gov.in/,
21,MA,Mahasamund,Mahasamund,1032754,4963.01,208,http://mahasamund.gov.in/,
22,MCB,Manendragarh-Chirmiri-Bharatpur,Manendragarh,376000,4226,-,,
23,MM,Mohla-Manpur- Ambagarh Chowki,Mohla,283947,-,-,,
24,,Mungeli,Mungeli,701707,2750.36,255,http://mungeli.gov.in,
25,,Narayanpur,Narayanpur,139820,6922.68,20,http://narayanpur.gov.in/,
26,RG,Raigarh,Raigarh,1112982,-,-,http://raigarh.gov.in/,
27,RP,Raipur,Raipur,2160876,2914.37,742,http://raipur.gov.in/,
28,RN,Rajnandgaon,Rajnandgaon,884742,8070,110,http://rajnandgaon.gov.in/,
29,SB,Sarangarh-Bilaigarh,Sarangarh,607434,-,-,,
30,Skt,Sakti,Sakti,653036,-,-,https://sakti.cg.gov.in/,
31,SK,Sukma,Sukma,250159,5767.02,43,https://sukma.gov.in/,
32,SJ,Surajpur,Surajpur,789043,4998.26,158,http://surajpur.gov.in/,
33,SU,Surguja,Ambikapur,840352,5019.80,167,http://surguja.gov.in/,
