No,Name,Code,Formed,Headquarters,Administrative division,Area (km2),Population (2011 Census),% of state Population,Density (per km2),Urban (%),Literacy (%),Sex ratio,Tehsils,Source
1,Ahmednagar,AH,1-May-60,Ahmednagar,Nashik,17048,4543159,4.04%,234.77,19.67,80.22,941,14,district website
2,Akola,AK,1-May-60,Akola,Amravati,5428,1813906,1.61%,300.78,53.23,88.05,938,7,district website
3,Amravati,AM,1-May-60,Amravati,Amravati,12235,2888445,2.57%,206.4,34.5,82.5,838,14,district website
4,Aurangabad,AU,1-May-60,Aurangabad,Aurangabad,10100,3701282,3.29%,286.83,37.53,61.15,924,9,district website
5,Beed,BI,1-May-60,Beed,Aurangabad,10693,1200334,1.07%,207.04,17.91,68,936,11,district website
6,Bhandara,BH,1-May-60,Bhandara,Nagpur,3717,2585049,2.30%,305.58,15.44,68.28,982,7,district website
7,Buldhana,BU,1-May-60,Buldhana,Amravati,9661,2586258,2.30%,230.63,21.2,75.8,946,13,district website
8,Chandrapur,CH,1-May-60,Chandrapur,Nagpur,11443,2204307,1.96%,193.65,32.11,73.03,948,15,district website
9,Dhule,DH,1-May-60,Dhule,Nashik,7195,2050862,1.83%,211.83,26.11,71.6,944,4,district website
10,Gadchiroli,GA,26-Aug-82,Gadchiroli,Nagpur,14412,1072942,0.95%,67.33,6.93,60.1,976,12,district website
11,Gondia,GO,1-May-99,Gondia,Nagpur,5234,1322507,1.18%,247.81,11.95,67.67,1005,8,district website
12,Hingoli,HI,1-May-99,Hingoli,Aurangabad,4526,1177345,1.05%,218.11,15.2,66.86,953,5,district website
13,Jalgaon,JG,1-May-60,Jalgaon,Nashik,11765,4229917,3.76%,312.79,71.4,76.06,932,15,district website
14,Jalna,JN,1-May-81,Jalna,Aurangabad,7687,1959046,1.74%,211.82,19.09,64.52,952,8,district website
15,Kolhapur,KO,1-May-60,Kolhapur,Pune,7685,3876001,3.45%,457.44,29.65,77.23,949,12,district website
16,Latur,LA,16-Aug-82,Latur,Aurangabad,7157,2454196,2.18%,282.19,23.57,71.54,935,10,district website
17,Mumbai City,MC,1-May-60,Mumbai,Konkan,157,3085411,2.75%,49140.9,100,86.4,777,0,district website
18,Mumbai Suburban,MU,1-Oct-90,Bandra,Konkan,446,9356962,8.33%,23271,100,89.6,822,3,district website
19,Nagpur,NG,1-May-60,Nagpur,Nagpur,9892,4653570,4.14%,409.36,64.33,84.18,933,14,district website
20,Nanded,ND,1-May-60,Nanded,Aurangabad,10528,3361292,2.99%,275.98,28.29,68.52,942,16,district website
21,Nandurbar,NB,1-Jul-98,Nandurbar,Nashik,5955,1648295,1.47%,260,15.5,46.63,975,6,district website
22,Nashik,NS,1-May-60,Nashik,Nashik,15582,6107187,5.43%,321.56,38.8,74.4,927,15,district website
23,Osmanabad,OS,1-May-60,Osmanabad,Aurangabad,7569,1657576,1.48%,197.89,17,78.4,924,8,district website
24,Palghar,PL,1-Aug-14,Palghar,Konkan,5344,2990116,2.66%,562,50,80,900,8,district website
25,Parbhani,PA,1-May-60,Parbhani,Aurangabad,6251,1836086,1.63%,244.4,31.8,55.15,958,9,district website
26,Pune,PU,1-May-60,Pune,Pune,15643,9429408,8.39%,461.85,58.1,80.78,919,14,district website
27,Raigad,RG,1-May-60,Alibag,Konkan,7152,2634200,2.34%,308.89,24.2,77,976,15,district website
28,Ratnagiri,RT,1-May-60,Ratnagiri,Konkan,8208,1615069,1.44%,206.72,11.3,65.13,1136,9,district website
29,Sangli,SN,1-May-60,Sangli,Pune,8578,2822143,2.51%,301.18,24.5,82.62,957,10,district website
30,Satara,ST,1-May-60,Satara,Pune,10480,3003741,2.67%,266.77,14.2,78.52,995,11,district website
31,Sindhudurg,SI,1-May-81,Oros,Konkan,5207,849651,0.76%,166.86,9.5,80.3,1079,8,district website
32,Solapur,SO,1-May-60,Solapur,Pune,14895,4317756,3.84%,259.32,31.8,71.2,935,11,district website
33,Thane,TH,1-May-60,Thane,Konkan,4214,8070032,7.18%,850.71,72.58,80.67,858,7,district website
34,Wardha,WR,1-May-60,Wardha,Nagpur,6310,1300774,1.16%,195.03,25.17,80.5,936,8,district website
35,Washim,WS,1-Jul-98,Washim,Amravati,5150,1197160,1.07%,275.98,17.49,74.02,939,6,district website
36,Yavatmal,YTL,1-May-60,Yavatmal,Amravati,13582,2772348,2.47%,152.93,18.6,57.96,951,16,district website
Maharashtra,-,-,-,-,-,307129,112374333,100%,314.42,42.43,77.27,922,-,-
