S.No.,Name,Headquarters,Area (km2),Population (2011 census),Density (per km2),Urban (%),Literacy (%),Sex ratio,Map
1,Adilabad,Adilabad,4153,708972,171,23.66,63.46,978,
2,Kumuram Bheem Asifabad,Asifabad,4878,515812,106,16.86,56.72,998,
3,Mancherial,Mancherial,4016,807037,201,43.85,64.35,977,
4,Nirmal,Nirmal,3845,709418,185,21.38,57.77,1046,
5,Nizamabad,Nizamabad,4288,1571022,366,29.58,64.25,1044,
6,Jagtial,Jagtial,2419,985417,407,22.46,60.26,1036,
7,Peddapalli,Peddapalli,2236,795332,356,38.22,65.52,992,
8,Kamareddy,Kamareddy,3652,972625,266,12.71,56.51,1033,
9,Rajanna Sircilla,Sircilla,2019,552037,273,21.17,62.71,1014,
10,Karimnagar,Karimnagar,2128,1005711,473,30.72,69.16,993,
11,Jayashankar Bhupalpally,Bhupalpally,2293,416763,180,7.57,58.97,1009,
12,Sangareddy,Sangareddy,4403,1527628,347,34.69,64.08,965,
13,Medak,Medak,2786,767428,275,7.67,56.12,1027,
14,Siddipet,Siddipet,3632,1012065,279,13.74,61.61,1008,
15,Jangaon,Jangaon,2188,566376,259,12.6,61.6,997,
16,Hanumakonda,Hanumakonda[10],1309,1080858,826,68.51,76.17,997,
17,Warangal,Warangal[10],2175,718537,330,6.99,61.26,994,
18,Mulugu,Mulugu,3881,257744,66,5,62.26,968,
19,Bhadradri kothagudem,Kothagudem,7483,1069261,143,31.71,66.4,1008,
20,Khammam,Khammam,4361,1401639,321,22.6,65.95,1005,
21,Mahabubabad,Mahabubabad,2877,774549,269,9.86,57.13,996,
22,Suryapet,Suryapet,3607,1099560,305,15.56,64.11,996,
23,Nalgonda,Nalgonda,7122,1618416,227,22.76,63.75,978,
24,Yadadri Bhuvanagiri[11],Bhuvanagiri,3092,739448,239,16.66,65.2402221,973,
25,Medchal–Malkajgiri,Shamirpet,1084,2440073,2251,91.4,82.48,957,
26,Hyderabad,Hyderabad,217,3943323,18172,100,83.25,954,
27,Ranga Reddy,Shamshabad,5031,2446265,486,58.05,71.88,950,
28,Vikarabad,Vikarabad,3386,927140,274,13.48,57.91,1001,
29,Narayanpet,Narayanpet,2336,566874,240,7.36,49.93,1009,
30,Mahabubnagar,Mahabubnagar,2738,919903,340,20.73,60.97,995,
31,Nagarkurnool,Nagarkurnool,6545,893308,142,10.19,54.38,968,
32,Wanaparthy,Wanaparthy,2152,577758,268,15.97,55.67,960,
33,Jogulamba Gadwal,Gadwal,2928,609990,208,10.36,49.87,972,
Total,–,–,112077,35003674,312,38.88,66.54,988,–
